,Year Admitted,Present Age.,Total
0,1817,21.0,1
1,1817,24.0,2
2,1817,27.0,3
3,1817,30.0,2
4,1817,31.0,1
5,1817,35.0,1
6,1817,37.0,1
7,1817,40.0,2
8,1817,45.0,1
9,1817,48.0,1
10,1817,50.0,1
11,1817,56.0,1
12,1817,65.0,1
13,1818,20.0,1
14,1818,22.0,1
15,1818,23.0,1
16,1818,26.0,1
17,1818,30.0,2
18,1818,31.0,1
19,1818,33.0,1
20,1818,36.0,2
21,1818,37.0,1
22,1818,45.0,1
23,1818,47.0,1
24,1818,50.0,1
25,1818,59.0,1
26,1818,60.0,3
27,1818,64.0,1
28,1818,71.0,1
29,1818,78.0,1
30,1819,22.0,3
31,1819,23.0,1
32,1819,26.0,1
33,1819,28.0,2
34,1819,30.0,1
35,1819,35.0,1
36,1819,39.0,1
37,1819,42.0,1
38,1819,47.0,1
39,1819,55.0,1
40,1819,60.0,2
41,1819,64.0,1
42,1819,70.0,1
43,1820,18.0,1
44,1820,19.0,1
45,1820,22.0,2
46,1820,23.0,2
47,1820,25.0,1
48,1820,27.0,1
49,1820,28.0,1
50,1820,29.0,1
51,1820,30.0,1
52,1820,32.0,3
53,1820,33.0,1
54,1820,35.0,1
55,1820,38.0,1
56,1820,40.0,1
57,1820,48.0,1
58,1820,49.0,1
59,1820,57.0,1
60,1820,59.0,1
61,1820,60.0,1
62,1820,70.0,1
63,1821,16.0,1
64,1821,18.0,1
65,1821,21.0,1
66,1821,23.0,3
67,1821,25.0,1
68,1821,29.0,1
69,1821,30.0,1
70,1821,31.0,2
71,1821,32.0,1
72,1821,33.0,1
73,1821,35.0,1
74,1821,38.0,2
75,1821,39.0,1
76,1821,40.0,2
77,1821,47.0,1
78,1821,49.0,1
79,1821,57.0,1
80,1822,17.0,1
81,1822,18.0,1
82,1822,19.0,1
83,1822,20.0,1
84,1822,30.0,1
85,1822,33.0,1
86,1822,39.0,1
87,1822,40.0,1
88,1822,43.0,1
89,1822,44.0,1
90,1822,45.0,2
91,1822,48.0,1
92,1822,49.0,1
93,1822,52.0,1
94,1822,53.0,1
95,1822,57.0,1
96,1822,65.0,1
97,1822,68.0,1
98,1822,69.0,1
99,1823,23.0,2
100,1823,24.0,1
101,1823,25.0,1
102,1823,27.0,2
103,1823,29.0,1
104,1823,30.0,1
105,1823,32.0,2
106,1823,34.0,1
107,1823,35.0,1
108,1823,40.0,1
109,1823,44.0,1
110,1823,45.0,1
111,1823,55.0,1
112,1823,60.0,1
113,1823,69.0,1
114,1823,71.0,1
115,1824,28.0,2
116,1824,30.0,1
117,1824,37.0,1
118,1824,38.0,1
119,1824,41.0,1
120,1824,47.0,1
121,1824,54.0,3
122,1824,55.0,1
123,1824,57.0,1
124,1824,60.0,1
125,1824,61.0,1
126,1824,83.0,2
127,1825,17.0,1
128,1825,18.0,1
129,1825,23.0,1
130,1825,24.0,1
131,1825,31.0,1
132,1825,32.0,1
133,1825,33.0,1
134,1825,34.0,1
135,1825,35.0,1
136,1825,37.0,1
137,1825,39.0,1
138,1825,42.0,2
139,1825,43.0,3
140,1825,44.0,3
141,1825,46.0,1
142,1825,50.0,2
143,1825,52.0,1
144,1825,53.0,1
145,1825,60.0,1
146,1825,63.0,2
147,1825,70.0,1
148,1825,86.0,1
149,1826,20.0,1
150,1826,21.0,3
151,1826,22.0,1
152,1826,24.0,1
153,1826,25.0,1
154,1826,27.0,2
155,1826,40.0,1
156,1826,42.0,1
157,1826,44.0,1
158,1826,45.0,3
159,1826,46.0,1
160,1826,48.0,1
161,1826,49.0,1
162,1826,54.0,1
163,1826,58.0,1
164,1826,62.0,1
165,1826,63.0,2
166,1826,64.0,2
167,1827,18.0,1
168,1827,21.0,1
169,1827,24.0,2
170,1827,25.0,1
171,1827,26.0,1
172,1827,29.0,1
173,1827,37.0,2
174,1827,39.0,1
175,1827,40.0,1
176,1827,41.0,2
177,1827,43.0,1
178,1827,45.0,1
179,1827,48.0,1
180,1827,49.0,1
181,1827,50.0,1
182,1827,53.0,1
183,1827,57.0,1
184,1827,64.0,2
185,1828,18.0,1
186,1828,23.0,1
187,1828,28.0,1
188,1828,30.0,1
189,1828,33.0,1
190,1828,37.0,1
191,1828,39.0,1
192,1828,40.0,2
193,1828,42.0,1
194,1828,43.0,1
195,1828,46.0,3
196,1828,47.0,1
197,1828,59.0,1
198,1828,60.0,2
199,1829,18.0,1
200,1829,20.0,2
201,1829,23.0,1
202,1829,24.0,2
203,1829,29.0,1
204,1829,33.0,1
205,1829,35.0,2
206,1829,47.0,1
207,1829,48.0,1
208,1829,50.0,2
209,1829,57.0,1
210,1829,58.0,1
211,1829,60.0,1
212,1829,66.0,1
213,1829,77.0,1
214,1830,19.0,1
215,1830,20.0,1
216,1830,21.0,1
217,1830,27.0,1
218,1830,28.0,1
219,1830,31.0,1
220,1830,46.0,1
221,1830,47.0,1
222,1830,48.0,2
223,1830,50.0,4
224,1830,63.0,1
225,1830,64.0,1
226,1830,70.0,1
227,1831,17.0,1
228,1831,18.0,1
229,1831,21.0,1
230,1831,23.0,1
231,1831,24.0,1
232,1831,26.0,1
233,1831,27.0,1
234,1831,28.0,2
235,1831,29.0,3
236,1831,30.0,1
237,1831,35.0,1
238,1831,36.0,2
239,1831,41.0,1
240,1831,47.0,1
241,1831,49.0,1
242,1831,50.0,3
243,1831,54.0,1
244,1831,60.0,1
245,1831,65.0,1
246,1831,74.0,1
247,1831,83.0,1
248,1832,20.0,1
249,1832,21.0,1
250,1832,22.0,2
251,1832,24.0,2
252,1832,25.0,1
253,1832,26.0,3
254,1832,27.0,1
255,1832,28.0,2
256,1832,29.0,2
257,1832,30.0,2
258,1832,35.0,2
259,1832,39.0,1
260,1832,47.0,1
261,1832,48.0,2
262,1832,50.0,1
263,1832,52.0,1
264,1832,54.0,2
265,1832,55.0,2
266,1832,57.0,1
267,1832,63.0,1
268,1832,69.0,1
269,1833,20.0,1
270,1833,22.0,2
271,1833,23.0,1
272,1833,26.0,1
273,1833,27.0,3
274,1833,28.0,1
275,1833,30.0,1
276,1833,31.0,1
277,1833,33.0,1
278,1833,35.0,1
279,1833,36.0,1
280,1833,43.0,2
281,1833,49.0,1
282,1833,52.0,2
283,1833,60.0,1
284,1833,62.0,2
285,1833,93.0,1
286,1834,21.0,1
287,1834,22.0,1
288,1834,24.0,3
289,1834,25.0,1
290,1834,26.0,1
291,1834,28.0,1
292,1834,29.0,1
293,1834,30.0,4
294,1834,32.0,1
295,1834,33.0,4
296,1834,34.0,1
297,1834,35.0,1
298,1834,36.0,1
299,1834,37.0,1
300,1834,38.0,1
301,1834,39.0,1
302,1834,40.0,1
303,1834,45.0,3
304,1834,47.0,1
305,1834,48.0,1
306,1834,52.0,2
307,1834,53.0,1
308,1834,55.0,1
309,1834,58.0,1
310,1834,60.0,1
311,1834,65.0,1
312,1834,70.0,2
313,1835,16.0,1
314,1835,18.0,1
315,1835,19.0,1
316,1835,20.0,1
317,1835,21.0,1
318,1835,22.0,1
319,1835,23.0,3
320,1835,24.0,2
321,1835,25.0,1
322,1835,26.0,3
323,1835,27.0,2
324,1835,28.0,1
325,1835,29.0,1
326,1835,31.0,2
327,1835,32.0,1
328,1835,34.0,1
329,1835,35.0,1
330,1835,36.0,2
331,1835,38.0,2
332,1835,40.0,2
333,1835,41.0,1
334,1835,45.0,2
335,1835,46.0,1
336,1835,48.0,1
337,1835,52.0,3
338,1835,53.0,1
339,1835,54.0,1
340,1835,55.0,2
341,1835,57.0,2
342,1835,58.0,1
343,1835,59.0,1
344,1835,63.0,1
345,1835,65.0,1
346,1835,70.0,1
347,1835,73.0,2
348,1835,80.0,1
349,1835,81.0,1
350,1836,17.0,1
351,1836,20.0,1
352,1836,22.0,1
353,1836,24.0,1
354,1836,25.0,3
355,1836,26.0,2
356,1836,27.0,1
357,1836,28.0,1
358,1836,32.0,1
359,1836,33.0,1
360,1836,34.0,1
361,1836,35.0,4
362,1836,37.0,1
363,1836,41.0,1
364,1836,44.0,1
365,1836,45.0,1
366,1836,46.0,2
367,1836,47.0,1
368,1836,48.0,1
369,1836,49.0,1
370,1836,50.0,2
371,1836,55.0,1
372,1837,16.0,1
373,1837,17.0,2
374,1837,20.0,1
375,1837,22.0,2
376,1837,26.0,4
377,1837,27.0,2
378,1837,28.0,3
379,1837,30.0,1
380,1837,31.0,1
381,1837,32.0,1
382,1837,33.0,3
383,1837,36.0,2
384,1837,37.0,1
385,1837,38.0,1
386,1837,40.0,2
387,1837,41.0,2
388,1837,43.0,1
389,1837,44.0,1
390,1837,45.0,1
391,1837,46.0,2
392,1837,52.0,1
393,1837,53.0,1
394,1837,57.0,1
395,1837,59.0,2
396,1837,63.0,1
397,1837,65.0,1
398,1837,68.0,1
399,1837,76.0,1
400,1838,15.0,1
401,1838,16.0,2
402,1838,18.0,1
403,1838,19.0,1
404,1838,21.0,2
405,1838,22.0,4
406,1838,23.0,2
407,1838,24.0,2
408,1838,25.0,2
409,1838,26.0,3
410,1838,27.0,2
411,1838,28.0,6
412,1838,29.0,1
413,1838,30.0,2
414,1838,31.0,1
415,1838,32.0,2
416,1838,34.0,1
417,1838,35.0,1
418,1838,36.0,3
419,1838,37.0,1
420,1838,38.0,2
421,1838,39.0,3
422,1838,40.0,2
423,1838,41.0,2
424,1838,42.0,2
425,1838,43.0,1
426,1838,44.0,1
427,1838,45.0,2
428,1838,50.0,2
429,1838,53.0,2
430,1838,55.0,1
431,1838,58.0,1
432,1838,66.0,1
433,1838,69.0,1
434,1839,15.0,1
435,1839,16.0,1
436,1839,18.0,1
437,1839,19.0,3
438,1839,20.0,2
439,1839,21.0,2
440,1839,22.0,3
441,1839,23.0,1
442,1839,24.0,1
443,1839,25.0,1
444,1839,26.0,3
445,1839,27.0,2
446,1839,28.0,2
447,1839,29.0,2
448,1839,30.0,2
449,1839,31.0,1
450,1839,32.0,2
451,1839,33.0,1
452,1839,34.0,1
453,1839,35.0,3
454,1839,36.0,3
455,1839,37.0,1
456,1839,38.0,3
457,1839,39.0,1
458,1839,42.0,1
459,1839,45.0,2
460,1839,49.0,1
461,1839,50.0,3
462,1839,52.0,1
463,1839,53.0,2
464,1839,56.0,1
465,1839,57.0,2
466,1839,72.0,1
467,1840,17.0,1
468,1840,19.0,4
469,1840,20.0,2
470,1840,21.0,1
471,1840,22.0,4
472,1840,23.0,1
473,1840,24.0,2
474,1840,25.0,2
475,1840,27.0,4
476,1840,28.0,3
477,1840,29.0,3
478,1840,30.0,1
479,1840,31.0,1
480,1840,32.0,1
481,1840,35.0,1
482,1840,37.0,1
483,1840,38.0,2
484,1840,40.0,1
485,1840,42.0,2
486,1840,43.0,2
487,1840,45.0,2
488,1840,46.0,1
489,1840,49.0,1
490,1840,50.0,1
491,1840,51.0,1
492,1840,53.0,1
493,1840,54.0,1
494,1840,55.0,1
495,1840,57.0,1
496,1840,60.0,2
497,1840,63.0,1
498,1840,71.0,1
499,1840,76.0,1
500,1841,19.0,1
501,1841,20.0,1
502,1841,23.0,2
503,1841,25.0,2
504,1841,26.0,1
505,1841,28.0,3
506,1841,29.0,1
507,1841,30.0,2
508,1841,31.0,1
509,1841,32.0,1
510,1841,33.0,3
511,1841,35.0,2
512,1841,36.0,3
513,1841,38.0,2
514,1841,39.0,1
515,1841,40.0,1
516,1841,42.0,2
517,1841,47.0,1
518,1841,48.0,2
519,1841,50.0,1
520,1841,52.0,1
521,1841,53.0,1
522,1841,57.0,1
523,1841,59.0,1
524,1841,64.0,1
525,1841,67.0,1
526,1842,17.0,1
527,1842,18.0,1
528,1842,19.0,1
529,1842,20.0,2
530,1842,23.0,2
531,1842,24.0,1
532,1842,27.0,1
533,1842,28.0,1
534,1842,31.0,2
535,1842,33.0,1
536,1842,34.0,1
537,1842,35.0,1
538,1842,42.0,1
539,1842,43.0,1
540,1842,45.0,2
541,1842,46.0,1
542,1842,56.0,2
543,1842,57.0,1
544,1842,60.0,1
545,1842,62.0,1
546,1842,67.0,1
547,1843,18.0,2
548,1843,19.0,2
549,1843,21.0,2
550,1843,22.0,2
551,1843,23.0,3
552,1843,24.0,1
553,1843,25.0,2
554,1843,28.0,1
555,1843,30.0,2
556,1843,32.0,1
557,1843,33.0,1
558,1843,35.0,5
559,1843,36.0,2
560,1843,37.0,1
561,1843,40.0,1
562,1843,42.0,1
563,1843,43.0,3
564,1843,45.0,1
565,1843,51.0,1
566,1843,53.0,2
567,1843,62.0,1
568,1843,72.0,1
569,1843,74.0,1
570,1844,17.0,1
571,1844,18.0,1
572,1844,19.0,2
573,1844,20.0,2
574,1844,21.0,4
575,1844,25.0,4
576,1844,26.0,2
577,1844,27.0,3
578,1844,28.0,2
579,1844,30.0,1
580,1844,32.0,1
581,1844,33.0,1
582,1844,35.0,3
583,1844,36.0,3
584,1844,37.0,1
585,1844,40.0,2
586,1844,42.0,1
587,1844,44.0,1
588,1844,45.0,1
589,1844,47.0,1
590,1844,48.0,1
591,1844,49.0,1
592,1844,50.0,2
593,1844,52.0,1
594,1844,56.0,1
595,1844,59.0,1
596,1844,61.0,1
597,1844,75.0,1
598,1844,84.0,1
599,1845,15.0,1
600,1845,20.0,1
601,1845,21.0,1
602,1845,23.0,1
603,1845,24.0,3
604,1845,25.0,1
605,1845,27.0,1
606,1845,28.0,1
607,1845,30.0,1
608,1845,32.0,2
609,1845,34.0,1
610,1845,37.0,2
611,1845,40.0,3
612,1845,42.0,1
613,1845,46.0,2
614,1845,48.0,1
615,1845,50.0,1
616,1845,54.0,1
617,1845,57.0,2
618,1845,62.0,1
619,1845,63.0,1
620,1845,64.0,1
621,1845,67.0,1
622,1845,76.0,1
623,1846,19.0,1
624,1846,22.0,1
625,1846,24.0,3
626,1846,26.0,2
627,1846,27.0,1
628,1846,28.0,2
629,1846,31.0,2
630,1846,32.0,1
631,1846,33.0,2
632,1846,34.0,2
633,1846,36.0,1
634,1846,38.0,1
635,1846,42.0,2
636,1846,44.0,1
637,1846,45.0,1
638,1846,46.0,2
639,1846,47.0,2
640,1846,48.0,1
641,1846,50.0,2
642,1846,52.0,2
643,1846,54.0,1
644,1846,57.0,1
645,1846,62.0,2
646,1846,64.0,1
647,1846,65.0,1
648,1846,69.0,1
649,1846,72.0,1
650,1846,79.0,1
651,1847,20.0,1
652,1847,21.0,2
653,1847,22.0,2
654,1847,23.0,1
655,1847,24.0,2
656,1847,25.0,2
657,1847,27.0,3
658,1847,28.0,1
659,1847,30.0,3
660,1847,35.0,5
661,1847,36.0,3
662,1847,37.0,1
663,1847,40.0,1
664,1847,41.0,1
665,1847,44.0,1
666,1847,45.0,1
667,1847,49.0,1
668,1847,54.0,1
669,1847,56.0,1
670,1847,63.0,1
671,1847,64.0,1
672,1847,66.0,1
673,1848,20.0,2
674,1848,21.0,2
675,1848,22.0,4
676,1848,23.0,4
677,1848,25.0,1
678,1848,26.0,1
679,1848,27.0,3
680,1848,29.0,1
681,1848,30.0,1
682,1848,31.0,1
683,1848,35.0,4
684,1848,36.0,2
685,1848,40.0,1
686,1848,41.0,1
687,1848,42.0,2
688,1848,44.0,1
689,1848,48.0,2
690,1848,49.0,2
691,1848,54.0,2
692,1848,55.0,1
693,1848,60.0,1
694,1848,77.0,1
695,1849,19.0,1
696,1849,20.0,2
697,1849,22.0,1
698,1849,24.0,1
699,1849,25.0,2
700,1849,27.0,1
701,1849,28.0,1
702,1849,33.0,1
703,1849,35.0,3
704,1849,40.0,2
705,1849,42.0,1
706,1849,48.0,1
707,1849,50.0,1
708,1849,55.0,2
709,1849,56.0,2
710,1849,57.0,3
711,1849,65.0,1
712,1849,66.0,2
713,1849,68.0,1
714,1849,69.0,1
715,1849,74.0,1
716,1850,22.0,1
717,1850,23.0,2
718,1850,24.0,1
719,1850,26.0,1
720,1850,27.0,1
721,1850,28.0,2
722,1850,39.0,1
723,1850,40.0,1
724,1850,45.0,1
725,1850,52.0,2
726,1850,54.0,2
727,1850,57.0,3
728,1850,60.0,1
729,1850,72.0,1
730,1851,20.0,1
731,1851,21.0,3
732,1851,22.0,1
733,1851,24.0,2
734,1851,25.0,2
735,1851,26.0,1
736,1851,28.0,2
737,1851,29.0,3
738,1851,30.0,2
739,1851,32.0,1
740,1851,33.0,2
741,1851,34.0,1
742,1851,36.0,1
743,1851,37.0,2
744,1851,38.0,1
745,1851,40.0,2
746,1851,43.0,1
747,1851,45.0,3
748,1851,46.0,1
749,1851,47.0,2
750,1851,56.0,2
751,1851,59.0,1
752,1851,60.0,1
753,1851,61.0,1
754,1851,74.0,2
755,1851,76.0,1
756,1851,79.0,1
757,1852,16.0,1
758,1852,19.0,1
759,1852,25.0,3
760,1852,27.0,5
761,1852,28.0,1
762,1852,32.0,1
763,1852,35.0,2
764,1852,39.0,1
765,1852,40.0,1
766,1852,41.0,4
767,1852,42.0,2
768,1852,50.0,1
769,1852,51.0,1
770,1852,54.0,1
771,1852,69.0,1
772,1852,75.0,1
773,1853,16.0,1
774,1853,19.0,1
775,1853,20.0,2
776,1853,21.0,2
777,1853,22.0,1
778,1853,24.0,1
779,1853,25.0,2
780,1853,26.0,3
781,1853,30.0,2
782,1853,32.0,1
783,1853,33.0,1
784,1853,34.0,1
785,1853,40.0,1
786,1853,42.0,1
787,1853,44.0,2
788,1853,45.0,1
789,1853,49.0,2
790,1853,52.0,1
791,1853,53.0,1
792,1853,55.0,2
793,1853,61.0,1
794,1853,63.0,1
795,1853,65.0,1
796,1853,66.0,1
797,1853,67.0,1
798,1853,69.0,1
799,1853,71.0,1
800,1853,76.0,1
801,1853,77.0,1
802,1853,85.0,1
803,1854,16.0,1
804,1854,17.0,1
805,1854,18.0,1
806,1854,19.0,1
807,1854,21.0,2
808,1854,24.0,1
809,1854,25.0,1
810,1854,26.0,2
811,1854,28.0,1
812,1854,32.0,1
813,1854,33.0,2
814,1854,34.0,1
815,1854,35.0,1
816,1854,36.0,1
817,1854,37.0,3
818,1854,38.0,1
819,1854,39.0,2
820,1854,40.0,1
821,1854,41.0,2
822,1854,43.0,1
823,1854,44.0,1
824,1854,45.0,1
825,1854,46.0,3
826,1854,50.0,1
827,1854,51.0,1
828,1854,52.0,1
829,1854,54.0,1
830,1854,55.0,2
831,1854,61.0,1
832,1854,62.0,3
833,1854,76.0,1
834,1854,79.0,1
835,1854,86.0,1
836,1855,19.0,1
837,1855,21.0,2
838,1855,22.0,1
839,1855,23.0,1
840,1855,24.0,1
841,1855,26.0,1
842,1855,28.0,2
843,1855,29.0,1
844,1855,31.0,1
845,1855,32.0,1
846,1855,34.0,1
847,1855,35.0,1
848,1855,36.0,1
849,1855,37.0,1
850,1855,40.0,2
851,1855,43.0,1
852,1855,45.0,1
853,1855,50.0,3
854,1855,54.0,1
855,1855,55.0,2
856,1855,57.0,1
857,1855,63.0,1
858,1855,72.0,1
859,1855,73.0,1
860,1855,75.0,1
861,1856,18.0,2
862,1856,21.0,1
863,1856,22.0,2
864,1856,23.0,1
865,1856,24.0,1
866,1856,25.0,2
867,1856,26.0,1
868,1856,28.0,2
869,1856,30.0,2
870,1856,31.0,1
871,1856,34.0,2
872,1856,35.0,2
873,1856,40.0,1
874,1856,41.0,1
875,1856,42.0,1
876,1856,44.0,1
877,1856,45.0,1
878,1856,50.0,1
879,1856,52.0,2
880,1856,54.0,1
881,1856,55.0,1
882,1856,56.0,5
883,1856,57.0,1
884,1856,58.0,1
885,1856,63.0,1
886,1856,64.0,1
887,1856,65.0,1
888,1857,17.0,1
889,1857,18.0,1
890,1857,19.0,2
891,1857,20.0,1
892,1857,21.0,1
893,1857,22.0,2
894,1857,26.0,2
895,1857,27.0,3
896,1857,28.0,2
897,1857,30.0,2
898,1857,32.0,1
899,1857,34.0,1
900,1857,35.0,2
901,1857,36.0,1
902,1857,39.0,1
903,1857,41.0,1
904,1857,42.0,1
905,1857,43.0,1
906,1857,44.0,2
907,1857,45.0,1
908,1857,46.0,1
909,1857,47.0,1
910,1857,48.0,1
911,1857,52.0,1
912,1857,54.0,1
913,1857,55.0,2
914,1857,57.0,1
915,1857,60.0,1
916,1857,62.0,1
917,1858,18.0,1
918,1858,19.0,1
919,1858,21.0,1
920,1858,22.0,1
921,1858,25.0,1
922,1858,29.0,1
923,1858,30.0,1
924,1858,32.0,1
925,1858,33.0,2
926,1858,36.0,2
927,1858,38.0,1
928,1858,40.0,1
929,1858,41.0,1
930,1858,46.0,1
931,1858,48.0,1
932,1858,50.0,1
933,1858,52.0,1
934,1858,57.0,1
935,1858,58.0,1
936,1858,60.0,2
937,1858,62.0,1
938,1858,64.0,1
939,1858,67.0,1
940,1859,17.0,1
941,1859,20.0,1
942,1859,22.0,3
943,1859,23.0,2
944,1859,25.0,1
945,1859,26.0,1
946,1859,28.0,2
947,1859,30.0,1
948,1859,31.0,1
949,1859,32.0,1
950,1859,34.0,2
951,1859,46.0,1
952,1859,47.0,1
953,1859,50.0,1
954,1859,55.0,1
955,1859,58.0,1
956,1859,59.0,1
957,1859,61.0,1
958,1859,63.0,1
959,1859,64.0,1
960,1860,9.0,1
961,1860,24.0,1
962,1860,26.0,1
963,1860,28.0,2
964,1860,34.0,2
965,1860,36.0,1
966,1860,37.0,1
967,1860,38.0,1
968,1860,41.0,1
969,1860,47.0,2
970,1860,48.0,1
971,1860,52.0,1
972,1860,71.0,1
973,1860,73.0,1
974,1860,80.0,1
975,1861,20.0,1
976,1861,23.0,1
977,1861,24.0,1
978,1861,29.0,1
979,1861,35.0,1
980,1861,44.0,1
981,1861,45.0,1
982,1861,48.0,1
983,1861,56.0,1
984,1861,57.0,1
985,1861,64.0,1
986,1861,67.0,1
987,1861,84.0,1
988,1862,23.0,1
989,1862,31.0,3
990,1862,35.0,1
991,1862,37.0,1
992,1862,38.0,1
993,1862,45.0,1
994,1862,47.0,2
995,1862,50.0,1
996,1862,52.0,1
997,1862,57.0,1
998,1862,58.0,1
999,1862,65.0,2
1000,1862,68.0,1
1001,1863,18.0,1
1002,1863,21.0,1
1003,1863,23.0,1
1004,1863,24.0,2
1005,1863,26.0,1
1006,1863,29.0,1
1007,1863,38.0,1
1008,1863,42.0,2
1009,1863,52.0,1
1010,1863,56.0,1
1011,1863,65.0,1
1012,1863,67.0,1
1013,1863,75.0,1
1014,1864,18.0,2
1015,1864,19.0,1
1016,1864,21.0,1
1017,1864,22.0,1
1018,1864,26.0,2
1019,1864,27.0,1
1020,1864,32.0,1
1021,1864,33.0,2
1022,1864,35.0,2
1023,1864,36.0,1
1024,1864,46.0,1
1025,1864,47.0,1
1026,1864,49.0,1
1027,1864,50.0,2
1028,1864,52.0,2
1029,1864,53.0,1
1030,1864,54.0,1
1031,1864,57.0,1
1032,1864,58.0,1
1033,1864,66.0,1
1034,1864,68.0,1
1035,1864,74.0,1
1036,1864,76.0,1
1037,1864,87.0,1
1038,1865,19.0,2
1039,1865,21.0,1
1040,1865,27.0,1
1041,1865,28.0,2
1042,1865,29.0,1
1043,1865,30.0,1
1044,1865,33.0,1
1045,1865,35.0,3
1046,1865,48.0,1
1047,1865,50.0,2
1048,1865,52.0,1
1049,1865,53.0,1
1050,1865,59.0,2
1051,1865,60.0,1
1052,1865,65.0,1
1053,1865,76.0,1
1054,1866,16.0,1
1055,1866,18.0,1
1056,1866,20.0,1
1057,1866,26.0,1
1058,1866,28.0,2
1059,1866,29.0,1
1060,1866,30.0,1
1061,1866,35.0,2
1062,1866,36.0,1
1063,1866,38.0,1
1064,1866,40.0,1
1065,1866,41.0,2
1066,1866,48.0,3
1067,1866,54.0,1
1068,1866,55.0,2
1069,1866,58.0,1
1070,1866,62.0,1
1071,1866,66.0,1
1072,1866,71.0,1
1073,1866,85.0,1
1074,1867,20.0,1
1075,1867,24.0,2
1076,1867,25.0,1
1077,1867,27.0,1
1078,1867,30.0,3
1079,1867,34.0,3
1080,1867,35.0,1
1081,1867,37.0,1
1082,1867,39.0,4
1083,1867,40.0,1
1084,1867,41.0,1
1085,1867,42.0,1
1086,1867,43.0,1
1087,1867,44.0,1
1088,1867,45.0,1
1089,1867,46.0,2
1090,1867,47.0,1
1091,1867,49.0,1
1092,1867,60.0,1
1093,1867,72.0,1
1094,1868,20.0,1
1095,1868,21.0,1
1096,1868,22.0,1
1097,1868,23.0,1
1098,1868,25.0,1
1099,1868,26.0,2
1100,1868,28.0,1
1101,1868,29.0,1
1102,1868,30.0,2
1103,1868,34.0,1
1104,1868,35.0,2
1105,1868,36.0,1
1106,1868,45.0,1
1107,1868,47.0,1
1108,1868,57.0,2
1109,1868,58.0,1
1110,1868,61.0,1
1111,1868,62.0,1
1112,1868,63.0,1
1113,1868,67.0,1
1114,1868,68.0,1
1115,1869,23.0,1
1116,1869,24.0,1
1117,1869,26.0,2
1118,1869,27.0,2
1119,1869,28.0,1
1120,1869,29.0,1
1121,1869,32.0,1
1122,1869,33.0,1
1123,1869,34.0,2
1124,1869,35.0,1
1125,1869,36.0,1
1126,1869,38.0,1
1127,1869,40.0,1
1128,1869,41.0,1
1129,1869,45.0,1
1130,1869,50.0,1
1131,1869,51.0,1
1132,1869,52.0,1
1133,1869,53.0,1
